Expression	Value	Location	Type	
ucDet_APL_Rot	<array>""	0x2000'3420	UCHAR[3200]	
[615]	0	0x2000'3687	UCHAR	
[616]	0	0x2000'3688	UCHAR	
[617]	0	0x2000'3689	UCHAR	
[618]	0	0x2000'368a	UCHAR	
[619]	0	0x2000'368b	UCHAR	
[620]	0	0x2000'368c	UCHAR	
[621]	0	0x2000'368d	UCHAR	
[622]	0	0x2000'368e	UCHAR	
[623]	0	0x2000'368f	UCHAR	
[624]	0	0x2000'3690	UCHAR	
[625]	0	0x2000'3691	UCHAR	
[626]	0	0x2000'3692	UCHAR	
[627]	0	0x2000'3693	UCHAR	
[628]	0	0x2000'3694	UCHAR	
[629]	0	0x2000'3695	UCHAR	
[630]	0	0x2000'3696	UCHAR	
[631]	0	0x2000'3697	UCHAR	
[632]	0	0x2000'3698	UCHAR	
[633]	0	0x2000'3699	UCHAR	
[634]	0	0x2000'369a	UCHAR	
[635]	0	0x2000'369b	UCHAR	
[636]	0	0x2000'369c	UCHAR	
[637]	0	0x2000'369d	UCHAR	
[638]	0	0x2000'369e	UCHAR	
[639]	0	0x2000'369f	UCHAR	
[640]	0	0x2000'36a0	UCHAR	
[641]	250	0x2000'36a1	UCHAR	
[642]	250	0x2000'36a2	UCHAR	
